Average of Mean air temperature [ÁC],
Row Labels,Total
1/1/16,3.20
1/2/16,0.30
1/3/16,-0.10
1/4/16,1.00
1/5/16,2.00
1/6/16,2.60
1/7/16,2.90
1/8/16,4.40
1/9/16,4.90
1/10/16,4.00
1/11/16,4.60
1/12/16,3.70
1/13/16,2.00
1/14/16,0.60
1/15/16,0.20
1/16/16,-1.30
1/17/16,-3.10
1/18/16,-5.80
1/19/16,-6.20
1/20/16,-4.20
1/21/16,-3.80
1/22/16,-8.10
1/23/16,-0.60
1/24/16,0.20
1/25/16,4.90
1/26/16,6.40
1/27/16,8.40
1/28/16,9.60
1/29/16,6.20
1/30/16,5.50
1/31/16,2.40
2/1/16,10.80
2/2/16,8.60
2/3/16,3.20
2/4/16,1.30
2/5/16,3.00
2/6/16,3.50
2/7/16,4.00
2/8/16,7.10
2/9/16,7.50
2/10/16,2.40
2/11/16,1.60
2/12/16,0.60
2/13/16,3.50
2/14/16,5.50
2/15/16,2.90
2/16/16,1.90
2/17/16,1.10
2/18/16,1.60
2/19/16,1.20
2/20/16,2.30
2/21/16,10.40
2/22/16,12.60
2/23/16,6.20
2/24/16,1.60
2/25/16,0.10
2/26/16,-0.30
2/27/16,-0.20
2/28/16,1.50
2/29/16,1.80
3/1/16,-0.70
3/2/16,3.30
3/3/16,1.80
3/4/16,2.80
3/5/16,2.60
3/6/16,1.80
3/7/16,0.80
3/8/16,0.00
3/9/16,-0.80
3/10/16,1.40
3/11/16,2.50
3/12/16,3.90
3/13/16,3.40
3/14/16,2.90
3/15/16,-0.70
3/16/16,1.40
3/17/16,3.10
3/18/16,4.30
3/19/16,4.50
3/20/16,4.10
3/21/16,4.20
3/22/16,5.20
3/23/16,4.20
3/24/16,4.20
3/25/16,4.50
3/26/16,6.70
3/27/16,6.20
3/28/16,8.60
3/29/16,9.20
3/30/16,10.00
3/31/16,12.40
4/1/16,8.20
4/2/16,9.60
4/3/16,13.10
4/4/16,14.80
4/5/16,13.10
4/6/16,9.90
4/7/16,7.40
4/8/16,5.70
4/9/16,6.20
4/10/16,8.20
4/11/16,8.80
4/12/16,9.90
4/13/16,10.10
4/14/16,8.70
4/15/16,7.80
4/16/16,11.30
4/17/16,8.40
4/18/16,7.20
4/19/16,8.50
4/20/16,9.30
4/21/16,10.00
4/22/16,11.80
4/23/16,9.40
4/24/16,3.00
4/25/16,2.30
4/26/16,3.20
4/27/16,2.30
4/28/16,3.90
4/29/16,7.10
4/30/16,10.50
5/1/16,9.20
5/2/16,10.30
5/3/16,10.00
5/4/16,8.60
5/5/16,9.30
5/6/16,13.40
5/7/16,15.00
5/8/16,15.50
5/9/16,16.10
5/10/16,14.60
5/11/16,14.40
5/12/16,11.20
5/13/16,10.60
5/14/16,10.60
5/15/16,6.80
5/16/16,6.00
5/17/16,7.90
5/18/16,11.70
5/19/16,9.60
5/20/16,12.00
5/21/16,15.10
5/22/16,18.60
5/23/16,9.60
5/24/16,8.60
5/25/16,12.20
5/26/16,16.40
5/27/16,17.80
5/28/16,17.80
5/29/16,17.10
5/30/16,14.80
5/31/16,13.50
6/1/16,14.70
6/2/16,13.70
6/3/16,14.40
6/4/16,15.20
6/5/16,14.70
6/6/16,17.50
6/7/16,18.30
6/8/16,15.20
6/9/16,13.90
6/10/16,15.50
6/11/16,13.70
6/12/16,15.30
6/13/16,15.00
6/14/16,14.10
6/15/16,14.70
6/16/16,15.00
6/17/16,13.20
6/18/16,14.70
6/19/16,12.80
6/20/16,15.30
6/21/16,17.20
6/22/16,20.60
6/23/16,22.20
6/24/16,22.90
6/25/16,20.20
6/26/16,14.80
6/27/16,16.20
6/28/16,19.00
6/29/16,19.40
6/30/16,18.00
7/1/16,20.20
7/2/16,17.50
7/3/16,15.00
7/4/16,17.90
7/5/16,19.20
7/6/16,17.30
7/7/16,18.00
7/8/16,19.70
7/9/16,21.80
7/10/16,23.00
7/11/16,25.00
7/12/16,17.50
7/13/16,14.00
7/14/16,11.60
7/15/16,12.70
7/16/16,14.60
7/17/16,18.00
7/18/16,20.60
7/19/16,21.30
7/20/16,21.90
7/21/16,19.30
7/22/16,19.20
7/23/16,19.90
7/24/16,20.70
7/25/16,20.00
7/26/16,18.80
7/27/16,19.10
7/28/16,18.80
7/29/16,19.80
7/30/16,21.80
7/31/16,18.20
8/1/16,17.10
8/2/16,17.10
8/3/16,20.20
8/4/16,21.40
8/5/16,13.60
8/6/16,15.70
8/7/16,16.90
8/8/16,19.10
8/9/16,14.80
8/10/16,11.80
8/11/16,12.90
8/12/16,13.30
8/13/16,18.40
8/14/16,19.80
8/15/16,19.40
8/16/16,19.20
8/17/16,17.60
8/18/16,17.20
8/19/16,17.40
8/20/16,19.00
8/21/16,15.40
8/22/16,15.40
8/23/16,17.40
8/24/16,18.80
8/25/16,19.10
8/26/16,20.40
8/27/16,21.40
8/28/16,22.40
8/29/16,18.50
8/30/16,18.00
8/31/16,17.90
9/1/16,18.10
9/2/16,18.40
9/3/16,18.10
9/4/16,18.40
9/5/16,15.80
9/6/16,16.40
9/7/16,17.10
9/8/16,18.80
9/9/16,19.60
9/10/16,19.20
9/11/16,19.80
9/12/16,19.40
9/13/16,19.30
9/14/16,18.80
9/15/16,19.20
9/16/16,16.80
9/17/16,12.80
9/18/16,12.90
9/19/16,11.70
9/20/16,11.80
9/21/16,9.10
9/22/16,10.60
9/23/16,11.90
9/24/16,12.20
9/25/16,12.50
9/26/16,13.70
9/27/16,11.80
9/28/16,13.40
9/29/16,16.20
9/30/16,16.20
10/1/16,14.40
10/2/16,11.60
10/3/16,10.00
10/4/16,8.20
10/5/16,6.10
