Date,Suspended sediment [g/m_]
1/1/16,1.2
1/2/16,1.5
1/3/16,2.2
1/4/16,2.9
1/5/16,2.3
1/6/16,1.7
1/7/16,1.5
1/8/16,1.5
1/9/16,2.9
1/10/16,6.3
1/11/16,4.4
1/12/16,6.0
1/13/16,6.9
1/14/16,4.3
1/15/16,2.5
1/16/16,2.1
1/17/16,1.7
1/18/16,2.1
1/19/16,1.5
1/20/16,1.2
1/21/16,1.2
1/22/16,1.1
1/23/16,1.2
1/24/16,1.1
1/25/16,1.1
1/26/16,1.2
1/27/16,2.6
1/28/16,3.1
1/29/16,3.6
1/30/16,6.5
1/31/16,10.8
2/1/16,209.7
2/2/16,156.4
2/3/16,49.7
2/4/16,25.9
2/5/16,14.5
2/6/16,10.2
2/7/16,8.8
2/8/16,9.9
2/9/16,7.2
2/10/16,6.9
2/11/16,6.4
2/12/16,5.2
2/13/16,4.2
2/14/16,3.5
2/15/16,3.2
2/16/16,3.5
2/17/16,3.6
2/18/16,3.2
2/19/16,3
2/20/16,3.4
2/21/16,11.4
2/22/16,35.8
2/23/16,27.1
2/24/16,16.2
2/25/16,10.3
2/26/16,7.1
2/27/16,5.4
2/28/16,3.9
2/29/16,5.7
3/1/16,4.8
3/2/16,5.2
3/3/16,7.7
3/4/16,7.4
3/5/16,4.4
3/6/16,3.6
3/7/16,3.6
3/8/16,2.9
3/9/16,2.4
3/10/16,2.1
3/11/16,1.8
3/12/16,1.8
3/13/16,1.5
3/14/16,1.4
3/15/16,1.8
3/16/16,1.6
3/17/16,1.3
3/18/16,5.1
3/19/16,2.3
3/20/16,1.9
3/21/16,1.8
3/22/16,1.8
3/23/16,2.3
3/24/16,1.9
3/25/16,1.6
3/26/16,5.6
3/27/16,10.2
3/28/16,3.7
3/29/16,3.3
3/30/16,2.9
3/31/16,2.6
4/1/16,3.6
4/2/16,3.4
4/3/16,2.7
4/4/16,2.6
4/5/16,2.7
4/6/16,3.1
4/7/16,3
4/8/16,2.6
4/9/16,2.6
4/10/16,2.6
4/11/16,2.8
4/12/16,4
4/13/16,4.4
4/14/16,5.3
4/15/16,5.6
4/16/16,3.1
4/17/16,3.2
4/18/16,9.6
4/19/16,14.3
4/20/16,10
4/21/16,4.8
4/22/16,4.2
4/23/16,4.5
4/24/16,4.1
4/25/16,4.8
4/26/16,4.5
4/27/16,5.2
4/28/16,4.3
4/29/16,3.4
4/30/16,3.3
5/1/16,3.6
5/2/16,5.1
5/3/16,8.5
5/4/16,8.8
5/5/16,7
5/6/16,5.2
5/7/16,4.7
5/8/16,4.2
5/9/16,4.2
