date,average temperature [¡C]
1/1/16,4.25
1/2/16,4.36
1/3/16,4.16
1/4/16,4.33
1/5/16,4.55
1/6/16,4.81
1/7/16,4.61
1/8/16,4.32
1/9/16,4.48
1/10/16,4.53
1/11/16,5.02
1/12/16,4.94
1/13/16,3.98
1/14/16,3.43
1/15/16,3.27
1/16/16,2.89
1/17/16,2.58
1/18/16,2.33
1/19/16,1.74
1/20/16,2.24
1/21/16,2.64
1/22/16,2.29
1/23/16,2.09
1/24/16,2.78
1/25/16,3.67
1/26/16,4.02
1/27/16,4.12
1/28/16,4.50
1/29/16,4.99
1/30/16,4.70
1/31/16,4.28
2/1/16,4.59
2/2/16,4.84
2/3/16,4.93
2/4/16,4.13
2/5/16,4.38
2/6/16,4.48
2/7/16,4.67
2/8/16,5.16
2/9/16,5.59
2/10/16,5.18
2/11/16,4.32
2/12/16,4.19
2/13/16,4.49
2/14/16,5.13
2/15/16,5.08
2/16/16,5.01
2/17/16,4.46
2/18/16,4.52
2/19/16,4.07
2/20/16,3.87
2/21/16,5.27
2/22/16,5.74
2/23/16,5.94
2/24/16,4.97
2/25/16,4.67
2/26/16,4.68
2/27/16,4.50
2/28/16,4.47
2/29/16,4.52
3/1/16,3.37
3/2/16,3.87
3/3/16,4.65
3/4/16,4.91
3/5/16,5.27
3/6/16,4.96
3/7/16,4.58
3/8/16,4.53
3/9/16,4.38
3/10/16,5.20
3/11/16,5.34
3/12/16,5.45
3/13/16,5.22
3/14/16,5.13
3/15/16,4.55
3/16/16,4.64
3/17/16,5.49
3/18/16,5.84
3/19/16,6.18
3/20/16,6.67
3/21/16,6.79
3/22/16,6.48
3/23/16,6.16
3/24/16,6.09
3/25/16,6.03
3/26/16,6.40
3/27/16,6.86
4/1/16,8.61
4/2/16,7.96
4/3/16,8.34
4/4/16,9.26
4/5/16,9.75
4/6/16,9.41
4/7/16,8.29
4/8/16,7.80
4/9/16,7.09
4/10/16,7.69
4/11/16,8.16
4/12/16,9.18
4/13/16,9.35
4/14/16,8.66
4/15/16,8.30
4/16/16,8.06
4/17/16,8.21
4/18/16,8.47
4/19/16,7.96
4/20/16,8.73
5/1/16,9.35
5/2/16,8.71
5/3/16,8.18
5/4/16,8.54
5/5/16,8.61
5/6/16,10.06
5/7/16,10.82
5/8/16,11.08
5/9/16,11.58
5/10/16,11.04
5/11/16,11.39
5/12/16,10.89
5/13/16,10.03
5/14/16,9.70
5/15/16,8.94
5/16/16,8.73
5/17/16,8.55
5/18/16,9.71
5/19/16,10.44
5/20/16,9.22
6/1/16,12.09
6/2/16,11.40
6/3/16,12.06
6/4/16,12.23
6/5/16,12.16
6/6/16,12.93
6/7/16,13.84
6/8/16,13.93
6/9/16,12.45
6/10/16,12.11
6/11/16,12.36
6/12/16,12.53
6/13/16,13.34
6/14/16,13.38
6/15/16,13.22
6/16/16,13.51
6/17/16,13.05
6/18/16,12.94
6/19/16,12.20
6/20/16,12.37
7/1/16,15.21
7/2/16,15.43
7/3/16,14.37
7/4/16,14.92
7/5/16,15.47
7/6/16,15.45
7/7/16,15.54
7/8/16,16.02
7/9/16,16.48
7/10/16,17.03
7/11/16,17.86
7/12/16,17.16
7/13/16,14.55
7/14/16,13.07
7/15/16,13.00
7/16/16,12.80
7/17/16,13.92
7/18/16,14.94
7/19/16,16.03
7/20/16,16.30
8/1/16,15.79
8/2/16,15.53
8/3/16,16.20
8/4/16,16.82
8/5/16,16.00
8/6/16,13.71
8/7/16,14.60
8/8/16,15.23
8/9/16,14.44
8/10/16,13.19
8/11/16,12.85
8/12/16,13.42
8/13/16,13.84
8/14/16,15.22
8/15/16,15.69
8/16/16,15.92
8/17/16,16.02
8/18/16,15.77
8/19/16,15.66
8/20/16,15.93
9/1/16,16.52
9/2/16,16.47
9/3/16,16.21
9/4/16,16.07
9/5/16,15.90
9/6/16,15.41
9/7/16,15.55
9/8/16,16.03
9/9/16,16.46
9/10/16,16.64
9/11/16,16.49
9/12/16,16.57
9/13/16,16.73
9/14/16,16.47
9/15/16,16.61
9/16/16,15.98
9/17/16,15.13
9/18/16,13.72
9/19/16,13.60
9/20/16,13.11
10/1/16,13.90
10/2/16,13.60
10/3/16,12.98
10/4/16,12.31
10/5/16,11.93
10/6/16,10.89
10/7/16,11.04
10/8/16,11.38
10/9/16,10.89
10/10/16,10.40
10/11/16,10.03
10/12/16,9.84
10/13/16,9.56
10/14/16,9.89
10/15/16,10.38
10/16/16,11.19
10/17/16,11.45
10/18/16,11.22
10/19/16,10.96
10/20/16,10.81
10/30/16,9.62
10/31/16,9.66
11/1/16,9.32
11/2/16,9.04
11/3/16,8.75
11/4/16,8.22
11/5/16,8.42
11/6/16,8.51
11/7/16,7.42
11/8/16,7.18
11/9/16,6.96
11/10/16,7.10
11/11/16,7.27
11/12/16,6.97
11/13/16,6.18
11/14/16,5.59
11/15/16,5.70
11/16/16,6.91
11/17/16,7.46
11/18/16,7.46
11/19/16,8.17
11/20/16,7.31
11/21/16,6.61
11/22/16,7.44
11/23/16,7.47
11/24/16,7.33
11/25/16,7.29
11/26/16,7.54
11/27/16,7.63
11/28/16,6.35
11/29/16,4.75
11/30/16,4.09
12/1/16,4.84
12/2/16,5.20
12/3/16,5.33
12/4/16,5.13
12/5/16,5.16
12/6/16,4.51
12/7/16,4.10
12/8/16,4.15
12/9/16,4.26
12/10/16,4.47
12/11/16,4.10
12/12/16,4.71
12/13/16,4.76
12/14/16,4.87
12/15/16,4.63
12/16/16,4.86
12/17/16,4.64
12/18/16,4.52
12/19/16,4.56
12/20/16,4.31
12/21/16,4.08
12/22/16,3.94
12/23/16,4.05
12/24/16,4.74
12/25/16,5.09
12/26/16,5.38
12/27/16,5.11
12/28/16,4.87
12/29/16,4.18
12/30/16,3.57
12/31/16,3.10
