Date,Average [cm]
1/1/16,48
1/2/16,47
1/3/16,53
1/4/16,59
1/5/16,56
1/6/16,52
1/7/16,48
1/8/16,49
1/9/16,61
1/10/16,74
1/11/16,69
1/12/16,75
1/13/16,79
1/14/16,60
1/15/16,54
1/16/16,53
1/17/16,49
1/18/16,48
1/19/16,49
1/20/16,50
1/21/16,48
1/22/16,50
1/23/16,51
1/24/16,47
1/25/16,47
1/26/16,50
1/27/16,59
1/28/16,65
1/29/16,73
1/30/16,77
1/31/16,81
2/1/16,169
2/2/16,178
2/3/16,125
2/4/16,107
2/5/16,95
2/6/16,90
2/7/16,82
2/8/16,78
2/9/16,76
2/10/16,80
2/11/16,82
2/12/16,81
2/13/16,75
2/14/16,70
2/15/16,68
2/16/16,69
2/17/16,68
2/18/16,68
2/19/16,68
2/20/16,67
2/21/16,92
2/22/16,117
2/23/16,113
2/24/16,99
2/25/16,89
2/26/16,86
2/27/16,76
2/28/16,68
2/29/16,69
3/1/16,73
3/2/16,72
3/3/16,87
3/4/16,85
3/5/16,82
3/6/16,84
3/7/16,83
3/8/16,76
3/9/16,69
3/10/16,64
3/11/16,63
3/12/16,68
3/13/16,61
3/14/16,58
3/15/16,61
3/16/16,64
3/17/16,59
3/18/16,54
3/19/16,55
3/20/16,53
3/21/16,52
3/22/16,53
3/23/16,51
3/24/16,50
3/25/16,48
3/26/16,69
3/27/16,71
3/28/16,64
3/29/16,62
3/30/16,64
3/31/16,66
4/1/16,74
4/2/16,75
4/3/16,70
4/4/16,67
4/5/16,69
4/6/16,71
4/7/16,70
4/8/16,68
4/9/16,67
4/10/16,64
4/11/16,59
4/12/16,60
4/13/16,68
4/14/16,77
4/15/16,71
4/16/16,63
4/17/16,59
4/18/16,89
4/19/16,102
4/20/16,94
4/21/16,84
4/22/16,79
4/23/16,73
4/24/16,76
4/25/16,74
4/26/16,80
4/27/16,86
4/28/16,81
4/29/16,77
4/30/16,76
5/1/16,73
5/2/16,86
5/3/16,97
5/4/16,103
5/5/16,93
5/6/16,88
5/7/16,83
5/8/16,78
5/9/16,79
5/10/16,81
5/11/16,77
5/12/16,78
5/13/16,92
5/14/16,135
5/15/16,151
